,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1)
2893,MTNORAM.B21111M00069,-8.13096E+17,989.9,1417,42851.53,14.17,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-1.94067E+18,3.4644E+18,SAVANNAH,GA,31419,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2240,238.5,0,2478.5,5/3/2021 14:00,4/24/2021 9:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2894,MTNORAM.B21111M00073,-8.13096E+17,214.97,2040,40024.8,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.64,0,1416.64,4/27/2021 14:00,4/28/2021 14:00,4/27/2021 14:00,4/27/2021 16:00,4/28/2021 9:00,4/28/2021 11:00
2895,MTNORAM.B21111M00077,-8.13096E+17,974.2,1465,41582.89,14.65,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-4.46173E+18,-4.99342E+18,WEST GREENWICH,RI,2817,-5.72248E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1468,337.64,70,1875.64,4/28/2021 3:00,4/26/2021 6:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2896,MTNORAM.B21111M00075,-8.13096E+17,1729.43,1224,35533.66,12.24,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,2.39689E+18,1.30209E+17,PORTLAND,OR,97222,7.05566E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1500,345,0,1845,4/23/2021 1:00,4/29/2021 5:04,4/24/2021 5:00,4/24/2021 5:30,NO EVENT,NO EVENT
2897,MTNORAM.B21111M00076,-8.13096E+17,214.97,2040,40024.8,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.64,0,1416.64,4/27/2021 16:00,4/28/2021 16:00,4/27/2021 16:00,4/27/2021 18:00,4/28/2021 9:00,4/28/2021 11:00
2898,MTNORAM.B21111M00078,-8.13096E+17,525.37,1425,42789.42,14.25,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,8.56328E+17,7.59807E+18,SALEM,VA,24153,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,2569,162.86,0,2731.86,4/26/2021 13:00,4/28/2021 8:00,4/26/2021 11:20,4/26/2021 14:26,4/27/2021 12:41,4/27/2021 12:58
2899,MTNORAM.B21111M00081,-8.13096E+17,352.7,1587,40039.81,15.87,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,4.11002E+18,-6.26942E+18,WEST BRANCH,MI,48661,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,1190,109.34,0,1299.34,4/29/2021 12:00,4/30/2021 10:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2900,MTNORAM.B21111M00080,-8.13096E+17,14.87,1383,40598.78,13.83,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,8.72397E+18,-3.07357E+18,NORTH AURORA,IL,60542,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,405,4.61,0,409.61,4/28/2021 8:00,4/28/2021 15:04,4/28/2021 7:00,4/28/2021 7:00,4/28/2021 9:00,4/28/2021 10:00
2901,MTNORAM.B21111M00079,-8.13096E+17,287.3,2040,40024.8,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,1075,89.06,0,1164.06,5/17/2021 9:00,5/18/2021 9:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2902,MTNORAM.B21111M00086,-8.13096E+17,1322.2,1584,40867.2,15.84,-8.9505E+18,-8.1374E+18,LAREDO,TX,78045,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,-7.15291E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1695,389.85,75,2159.85,4/20/2021 5:04,4/21/2021 6:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
